log,template
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Send worker leaving thread,Send worker leaving thread
Interrupting SendWorker,Interrupting SendWorker
Received connection request /10.10.34.11:49480,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Send worker leaving thread,Send worker leaving thread
Received connection request /10.10.34.13:46922,Received connection request /<*>:<*>
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Received connection request /10.10.34.12:49670,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
Interrupting SendWorker,Interrupting SendWorker
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Received connection request /10.10.34.11:49566,Received connection request /<*>:<*>
Send worker leaving thread,Send worker leaving thread
Interrupting SendWorker,Interrupting SendWorker
Interrupting SendWorker,Interrupting SendWorker
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Received connection request /10.10.34.11:49590,Received connection request /<*>:<*>
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Received connection request /10.10.34.13:47032,Received connection request /<*>:<*>
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.12:49786,Received connection request /<*>:<*>
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
Received connection request /10.10.34.11:49662,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.12:49822,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Received connection request /10.10.34.13:47115,Received connection request /<*>:<*>
Interrupting SendWorker,Interrupting SendWorker
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Received connection request /10.10.34.13:47199,Received connection request /<*>:<*>
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.13:47234,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.12:49993,Received connection request /<*>:<*>
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Send worker leaving thread,Send worker leaving thread
Received connection request /10.10.34.13:47282,Received connection request /<*>:<*>
Interrupting SendWorker,Interrupting SendWorker
Send worker leaving thread,Send worker leaving thread
Received connection request /10.10.34.11:49880,Received connection request /<*>:<*>
Send worker leaving thread,Send worker leaving thread
Send worker leaving thread,Send worker leaving thread
Received connection request /10.10.34.13:47340,Received connection request /<*>:<*>
Received connection request /10.10.34.13:47342,Received connection request /<*>:<*>
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.11:49938,Received connection request /<*>:<*>
Received connection request /10.10.34.11:49949,Received connection request /<*>:<*>
Received connection request /10.10.34.11:49957,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Send worker leaving thread,Send worker leaving thread
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.13:47454,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Send worker leaving thread,Send worker leaving thread
Interrupting SendWorker,Interrupting SendWorker
Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
Received connection request /10.10.34.13:47500,Received connection request /<*>:<*>
"Connection broken for id 188978561024, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Interrupting SendWorker,Interrupting SendWorker
Closed socket connection for client /10.10.34.13:54265 (no session established for client),Closed socket connection for client /<*>:<*> (no session established for client)
"Notification: 3 (n.leader), 0x10000006b (n.zxid), 0x2 (n.round), LOOKING (n.state), 3 (n.sid), 0x1 (n.peerEPoch), LOOKING (my state)","Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)"
Accepted socket connection from /10.10.34.13:54298,Accepted socket connection from /<*>:<*>
Accepted socket connection from /10.10.34.13:54310,Accepted socket connection from /<*>:<*>
Established session 0x34ed9ac1c1e0007 with negotiated timeout 10000 for client /10.10.34.12:59224,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Connection request from old client /10.10.34.12:59230; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
caught end of stream exception,caught end of stream exception
Established session 0x34ed9ac1c1e0036 with negotiated timeout 10000 for client /10.10.34.36:37583,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Client attempting to establish new session at /10.10.34.39:45022,Client attempting to establish new session at /<*>:<*>
caught end of stream exception,caught end of stream exception
Closed socket connection for client /10.10.34.12:59284 which had sessionid 0x34ed9ac1c1e0059,Closed socket connection for client /<*>:<*> which had sessionid <*>
caught end of stream exception,caught end of stream exception
Client attempting to establish new session at /10.10.34.13:54387,Client attempting to establish new session at /<*>:<*>
Established session 0x34ed9ac1c1e0064 with negotiated timeout 10000 for client /10.10.34.11:37111,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Connection request from old client /10.10.34.11:37116; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Closed socket connection for client /10.10.34.18:46783 which had sessionid 0x34ed9ac1c1e0086,Closed socket connection for client /<*>:<*> which had sessionid <*>
Closed socket connection for client /10.10.34.11:40581 which had sessionid 0x34ed9ac1c1e0093,Closed socket connection for client /<*>:<*> which had sessionid <*>
caught end of stream exception,caught end of stream exception
Accepted socket connection from /10.10.34.12:59323,Accepted socket connection from /<*>:<*>
Connection request from old client /10.10.34.13:54616; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Connection request from old client /10.10.34.14:49822; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Closed socket connection for client /10.10.34.11:41160 which had sessionid 0x34ed9ac1c1e00a9,Closed socket connection for client /<*>:<*> which had sessionid <*>
Accepted socket connection from /10.10.34.12:59359,Accepted socket connection from /<*>:<*>
Accepted socket connection from /10.10.34.13:54649,Accepted socket connection from /<*>:<*>
Accepted socket connection from /10.10.34.11:41732,Accepted socket connection from /<*>:<*>
caught end of stream exception,caught end of stream exception
"Connection broken for id 1, my id = 3, error =","Connection broken for id <*>, my id = <*>, error ="
Established session 0x34ed9ac1c1e00d1 with negotiated timeout 10000 for client /10.10.34.11:49255,Established session <*> with negotiated timeout <*> for client /<*>:<*>
LOOKING,LOOKING
Connection request from old client /10.10.34.11:50716; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Established session 0x34ede65503f0025 with negotiated timeout 10000 for client /10.10.34.11:50961,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Established session 0x34ede65503f0027 with negotiated timeout 10000 for client /10.10.34.12:56359,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Connection request from old client /10.10.34.11:51043; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Client attempting to establish new session at /10.10.34.11:51097,Client attempting to establish new session at /<*>:<*>
Closed socket connection for client /10.10.34.11:51097 which had sessionid 0x34ede65503f002f,Closed socket connection for client /<*>:<*> which had sessionid <*>
Closed socket connection for client /10.10.34.12:56372 which had sessionid 0x34ede65503f0030,Closed socket connection for client /<*>:<*> which had sessionid <*>
Connection request from old client /10.10.34.12:56424; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
Client attempting to establish new session at /10.10.34.13:50253,Client attempting to establish new session at /<*>:<*>
Established session 0x34ede65503f0058 with negotiated timeout 20000 for client /10.10.34.11:51967,Established session <*> with negotiated timeout <*> for client /<*>:<*>
caught end of stream exception,caught end of stream exception
Server environment:os.name=Linux,Server environment:<*>
Server environment:user.name=zookeeper,Server environment:<*>
Established session 0x34edfaa9c220002 with negotiated timeout 10000 for client /10.10.34.11:53000,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Closed socket connection for client /10.10.34.11:53310 which had sessionid 0x34edfaa9c220012,Closed socket connection for client /<*>:<*> which had sessionid <*>
caught end of stream exception,caught end of stream exception
Established session 0x34edfaa9c22001e with negotiated timeout 10000 for client /10.10.34.41:51908,Established session <*> with negotiated timeout <*> for client /<*>:<*>
Connection request from old client /10.10.34.34:55584; will be dropped if server is in r-o mode,Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode
minSessionTimeout set to -1,minSessionTimeout set to <*>
Getting a snapshot from leader,Getting a snapshot from leader
Closed socket connection for client /10.10.34.11:59186 which had sessionid 0x34ee30a5c530018,Closed socket connection for client /<*>:<*> which had sessionid <*>
Established session 0x34ee30a5c53002b with negotiated timeout 10000 for client /10.10.34.42:37429,Established session <*> with negotiated timeout <*> for client /<*>:<*>
"Notification: 3 (n.leader), 0x700000197 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x7 (n.peerEPoch), LOOKING (my state)","Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)"
Closed socket connection for client /10.10.34.12:33342 which had sessionid 0x34f0557885e0002,Closed socket connection for client /<*>:<*> which had sessionid <*>
"Expiring session 0x14f05578bd80006, timeout of 10000ms exceeded","Expiring session <*>, timeout of <*>ms exceeded"
Processed session termination for sessionid: 0x24f0557806a0010,Processed session termination for sessionid: <*>
